start_time: 1747762496.242289, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 180 
start_time: 1747762706.551216, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 200 
start_time: 1747762916.361229, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 220 
start_time: 1747763125.1017802, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 240 
start_time: 1747763159.1120565, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 260 
start_time: 1747763193.136242, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 280 
start_time: 1747764117.6737232, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 180 
start_time: 1747764328.1746945, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 200 
start_time: 1747764537.613569, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 220 
start_time: 1747764747.095215, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 240 
start_time: 1747764781.0968993, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 260 
start_time: 1747764815.1118624, duration: 3, hr: 64, rr: 16, waveform: sine, dc: 0.5, max_amp: 280 
start_time: 1747834293.8365085, duration: 3, hr: 40, rr: 8, waveform: sine, dc: 0.5, max_amp: 200 
start_time: 1747834456.1645856, duration: 3, hr: 40, rr: 8, waveform: sine, dc: 0.5, max_amp: 200 
start_time: 1747834642.4787543, duration: 3, hr: 40, rr: 12, waveform: sine, dc: 0.5, max_amp: 200 
start_time: 1747834737.2065575, duration: 3, hr: 40, rr: 12, waveform: sine, dc: 0.5, max_amp: 200 
start_time: 1747834796.7576184, duration: 3, hr: 40, rr: 12, waveform: sine, dc: 0.5, max_amp: 200 
start_time: 1747834866.3095093, duration: 3, hr: 40, rr: 12, waveform: sine, dc: 0.5, max_amp: 256 
start_time: 1747834949.2563443, duration: 3, hr: 40, rr: 12, waveform: sine, dc: 0.5, max_amp: 256 
start_time: 1747835023.3381, duration: 3, hr: 40, rr: 12, waveform: sine, dc: 0.5, max_amp: 256 
